entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
107,109,2003-10-02,2003-10-06,LONG,369.259647626973,369.38011151439844,2146.275450761617,10731.377253808085,17.504531428365585,0.8155771162622212,2.146275450761617,15.358255977603967
113,115,2003-10-10,2003-10-14,LONG,369.9110912033717,370.2203346314663,2148.5791891582576,10742.895945791288,44.904979182058156,2.089984833170168,2.1485791891582577,42.7563999928999
117,119,2003-10-16,2003-10-20,LONG,370.3717185708823,370.5092467470954,2154.9926491571923,10774.963245785962,20.005051272192055,0.9283118102521575,2.1549926491571925,17.85005862303486
121,124,2003-10-22,2003-10-27,LONG,371.3259934548233,372.75418130640884,2157.6701579506475,10788.350789753238,207.46987563696703,9.615458362459888,2.1576701579506476,205.31220547901637
126,127,2003-10-29,2003-10-30,LONG,373.49405139218936,373.8148418636717,2188.4669887725004,10942.334943862501,46.99133456978784,2.1472261090008504,2.1884669887725003,44.802867581015335
129,130,2003-11-03,2003-11-04,LONG,374.2268888593601,374.3972489077258,2195.1874189096525,10975.937094548262,24.982987994066615,1.138079955217475,2.1951874189096525,22.787800575156965
137,140,2003-11-13,2003-11-18,LONG,376.9036817724908,378.57471201298404,2198.605588995926,10993.02794497963,243.69199637769094,11.083934180708683,2.1986055889959264,241.49339078869502
141,143,2003-11-19,2003-11-21,LONG,379.08597750421643,380.03781369720735,2234.8295976142304,11174.147988071152,140.28425096209932,6.277178855688073,2.2348295976142305,138.04942136448508
144,145,2003-11-24,2003-11-25,LONG,380.3914813933941,380.72791522513387,2255.537010818903,11277.685054094516,49.87223664953217,2.211102562729635,2.2555370108189035,47.616699638713264
146,148,2003-11-26,2003-11-28,LONG,381.22818665562846,382.1715982817543,2262.67951576471,11313.39757882355,139.98428212349774,6.1866597168617465,2.26267951576471,137.72160260773302
150,152,2003-12-02,2003-12-04,LONG,383.44251110548294,384.6798044746952,2283.33775615587,11416.68878077935,184.19701673260897,8.067007004811904,2.2833377561558703,181.9136789764531
153,154,2003-12-05,2003-12-08,LONG,385.3465451002596,386.02988434596637,2310.624808002338,11553.12404001169,102.43640649488674,4.433277360310549,2.310624808002338,100.1257816868844
155,156,2003-12-09,2003-12-10,LONG,386.7137421864603,387.30783496489687,2325.643675255371,11628.218376276855,89.319822517433,3.8406495142737245,2.325643675255371,86.99417884217763
161,162,2003-12-17,2003-12-18,LONG,390.44030268449114,391.06780812361995,2338.692802081697,11693.464010408487,93.96714706880319,4.017934590860413,2.3386928020816975,91.62845426672149
168,169,2003-12-26,2003-12-29,LONG,394.554690313182,395.1848605854089,2352.4370702217057,11762.185351108528,93.93095211728297,3.992920928950947,2.352437070221706,91.57851504706126
